Test_Number,Experiment_ID,Profile,Start_X,Start_Y,Goal_X,Goal_Y,Euclidean_Distance,Dijkstra_Success,Dijkstra_Path_Length,Dijkstra_Cost,AStar_Success,AStar_Path_Length,AStar_Cost,Safety_Success,Safety_Path_Length,Safety_Cost,Balanced_Success,Balanced_Path_Length,Balanced_Cost
1,22,Defensive,152.27,284.99,262.99,467.93,213.84,1,19,48.6566,1,19,48.6566,1,30,11.9328,1,30,7.993
1,22,Dynamic,152.27,284.99,262.99,467.93,213.84,1,29,29.2349,1,29,29.5049,1,30,9.0328,1,22,13.3828
1,23,Offensive,146.16,252.37,218.55,236.9,74.03,1,8,7.9025,1,8,7.9025,1,8,9.7253,1,8,1.0516
1,23,Neutral,146.16,252.37,218.55,236.9,74.03,1,8,10.2359,1,8,10.2359,1,8,9.9587,1,8,1.4021
1,23,Defensive,146.16,252.37,218.55,236.9,74.03,1,8,14.9025,1,8,14.9025,1,8,10.4253,1,8,2.1032
1,23,Dynamic,146.16,252.37,218.55,236.9,74.03,1,8,7.9025,1,8,7.9025,1,8,9.7253,1,8,1.0516
1,24,Offensive,188.91,129.87,35.83,291.79,222.82,1,21,22.8746,1,21,23.0988,1,23,30.0557,1,23,5.3837
1,24,Neutral,188.91,129.87,35.83,291.79,222.82,1,21,29.5412,1,21,29.7655,1,23,30.789,1,23,6.5789
1,24,Defensive,188.91,129.87,35.83,291.79,222.82,1,18,42.0999,1,18,42.0999,1,23,32.2557,1,23,8.7313
1,24,Dynamic,188.91,129.87,35.83,291.79,222.82,1,21,23.2079,1,21,23.4321,1,23,30.089,1,23,6.1392
1,25,Offensive,120.05,91.6,415.01,142.48,299.32,1,37,36.7618,1,37,37.2996,1,39,3.8,1,37,6.3215
1,25,Neutral,120.05,91.6,415.01,142.48,299.32,1,37,48.7618,1,37,48.7618,1,39,5.0667,1,37,8.4287
1,25,Defensive,120.05,91.6,415.01,142.48,299.32,1,30,69.0241,1,30,69.0241,1,39,7.6,1,38,11.7264
1,25,Dynamic,120.05,91.6,415.01,142.48,299.32,1,37,36.7618,1,37,37.2996,1,39,3.8,1,37,6.3215
1,26,Offensive,220.15,423.08,173.27,448.3,53.24,1,6,11.8055,1,6,11.8055,1,16,21.489,1,6,6.8893
1,26,Neutral,220.15,423.08,173.27,448.3,53.24,1,6,13.4722,1,6,13.4722,1,16,21.989,1,16,4.6656
1,26,Defensive,220.15,423.08,173.27,448.3,53.24,1,6,16.8055,1,6,16.8055,1,16,22.989,1,16,5.207
1,26,Dynamic,220.15,423.08,173.27,448.3,53.24,1,6,12.8055,1,6,12.8055,1,16,21.5223,1,18,6.8579
1,27,Offensive,295.7,318.36,190.03,377.95,121.32,1,11,16.6568,1,11,16.6568,1,28,35.8551,1,11,7.0001
1,27,Neutral,295.7,318.36,190.03,377.95,121.32,1,11,19.9901,1,11,19.9901,1,28,36.7551,1,11,9.3334
1,27,Defensive,295.7,318.36,190.03,377.95,121.32,1,11,26.6568,1,11,26.6568,1,28,38.5551,1,19,13.4245
1,27,Dynamic,295.7,318.36,190.03,377.95,121.32,1,11,17.6568,1,11,17.6568,1,28,35.8884,1,11,8.9885
1,28,Offensive,163.86,457.35,343.79,358.49,205.3,1,21,20.0,1,21,20.0847,1,21,2.0,1,20,2.9297
1,28,Neutral,163.86,457.35,343.79,358.49,205.3,1,21,26.6667,1,21,26.6667,1,21,2.6667,1,21,2.2972
1,28,Defensive,163.86,457.35,343.79,358.49,205.3,1,20,39.3981,1,20,39.3981,1,21,4.0,1,21,3.4458
1,28,Dynamic,163.86,457.35,343.79,358.49,205.3,1,21,20.0,1,21,20.0847,1,21,2.0,1,20,2.9297
1,29,Offensive,298.32,441.13,166.71,404.63,136.57,1,14,26.4371,1,14,26.4371,1,40,74.5388,1,14,14.0111
1,29,Neutral,298.32,441.13,166.71,404.63,136.57,1,14,30.7704,1,14,30.7704,1,40,75.8388,1,14,18.6814
1,29,Defensive,298.32,441.13,166.71,404.63,136.57,1,14,39.4371,1,14,39.4371,1,40,78.4388,1,31,23.0363
1,29,Dynamic,298.32,441.13,166.71,404.63,136.57,1,14,28.4371,1,14,28.4371,1,40,74.6721,1,14,20.2263
1,30,Offensive,91.39,120.77,106.93,339.17,218.95,1,22,26.0691,1,22,26.0691,1,54,21.2657,1,22,7.2936
1,30,Neutral,91.39,120.77,106.93,339.17,218.95,1,22,33.0691,1,22,33.0691,1,54,23.0323,1,22,8.7432
1,30,Defensive,91.39,120.77,106.93,339.17,218.95,1,22,47.0691,1,22,47.0691,1,54,26.5657,1,24,12.0054
1,30,Dynamic,91.39,120.77,106.93,339.17,218.95,1,22,26.4025,1,22,26.4025,1,54,21.2657,1,24,6.5502
1,31,Offensive,137.56,269.5,346.93,147.76,242.19,1,22,24.2396,1,22,24.2396,1,32,3.1,1,22,6.0969
1,31,Neutral,137.56,269.5,346.93,147.76,242.19,1,22,31.2396,1,22,31.2396,1,32,4.1333,1,22,7.3548
1,31,Defensive,137.56,269.5,346.93,147.76,242.19,1,22,45.2396,1,22,45.2396,1,32,6.2,1,23,8.4195
1,31,Dynamic,137.56,269.5,346.93,147.76,242.19,1,22,24.2396,1,22,24.2396,1,32,3.1,1,23,5.1507
1,32,Offensive,434.87,98.05,92.84,196.43,355.9,1,37,37.6534,1,35,38.3023,1,40,14.5277,1,35,8.3203
1,32,Neutral,434.87,98.05,92.84,196.43,355.9,1,35,49.6357,1,35,49.6357,1,40,15.8277,1,35,11.0938
1,32,Defensive,434.87,98.05,92.84,196.43,355.9,1,35,72.3023,1,35,72.3023,1,40,18.4277,1,38,12.9491
1,32,Dynamic,434.87,98.05,92.84,196.43,355.9,1,37,37.6534,1,35,38.3023,1,40,14.5277,1,35,8.3203
1,33,Offensive,229.86,88.32,176.43,418.16,334.14,1,34,41.3768,1,34,41.6068,1,51,66.4014,1,34,13.3177
1,33,Neutral,229.86,88.32,176.43,418.16,334.14,1,34,52.3768,1,34,52.3768,1,51,68.068,1,41,19.342
1,33,Defensive,229.86,88.32,176.43,418.16,334.14,1,34,74.3768,1,34,74.3768,1,51,71.4014,1,53,22.4753
1,33,Dynamic,229.86,88.32,176.43,418.16,334.14,1,34,42.3768,1,34,42.6068,1,51,66.4347,1,34,15.8441
1,34,Offensive,332.54,155.96,447.38,125.44,118.83,1,12,11.0,1,12,11.0,1,12,1.1,1,12,0.3907
1,34,Neutral,332.54,155.96,447.38,125.44,118.83,1,12,14.6667,1,12,14.6667,1,12,1.4667,1,12,0.5209
1,34,Defensive,332.54,155.96,447.38,125.44,118.83,1,12,22.0,1,12,22.0,1,12,2.2,1,12,0.7814
1,34,Dynamic,332.54,155.96,447.38,125.44,118.83,1,12,11.0,1,12,11.0,1,12,1.1,1,12,0.3907
1,35,Offensive,163.89,311.95,337.6,31.55,329.85,1,31,35.7891,1,31,35.7891,1,48,11.7946,1,31,9.1093
1,35,Neutral,163.89,311.95,337.6,31.55,329.85,1,31,45.7891,1,31,45.7891,1,41,13.1402,1,38,9.5105
1,35,Defensive,163.89,311.95,337.6,31.55,329.85,1,31,65.7891,1,31,65.7891,1,41,15.8069,1,38,12.5775
1,35,Dynamic,163.89,311.95,337.6,31.55,329.85,1,31,35.7891,1,31,35.7891,1,48,11.7946,1,31,9.1093
1,36,Offensive,54.39,27.56,186.2,275.09,280.44,1,26,31.6175,1,26,31.6175,1,44,45.251,1,28,10.7332
1,36,Neutral,54.39,27.56,186.2,275.09,280.44,1,26,39.9508,1,26,39.9508,1,44,46.6843,1,27,12.408
1,36,Defensive,54.39,27.56,186.2,275.09,280.44,1,26,56.6175,1,26,56.6175,1,44,49.551,1,26,18.2154
1,36,Dynamic,54.39,27.56,186.2,275.09,280.44,1,26,31.9508,1,26,31.9508,1,44,45.2843,1,28,11.5807
1,37,Offensive,320.67,25.08,433.06,376.37,368.82,1,36,40.5103,1,36,40.8896,1,38,51.7081,1,36,10.622
1,37,Neutral,320.67,25.08,433.06,376.37,368.82,1,36,52.1769,1,36,52.1769,1,38,52.9414,1,36,14.1627
1,37,Defensive,320.67,25.08,433.06,376.37,368.82,1,36,75.5103,1,36,75.5103,1,38,55.4081,1,36,19.8205
1,37,Dynamic,320.67,25.08,433.06,376.37,368.82,1,36,41.5103,1,36,41.8896,1,38,51.8081,1,36,14.2119
1,38,Offensive,165.38,285.32,139.95,88.64,198.32,1,24,28.7264,1,24,28.7264,1,48,40.4054,1,25,9.794
1,38,Neutral,165.38,285.32,139.95,88.64,198.32,1,24,36.3931,1,24,36.3931,1,48,41.9721,1,26,10.4803
1,38,Defensive,165.38,285.32,139.95,88.64,198.32,1,23,51.3692,1,23,51.3692,1,48,45.1054,1,26,14.8251
1,38,Dynamic,165.38,285.32,139.95,88.64,198.32,1,24,29.0597,1,24,29.0597,1,48,40.4387,1,25,10.3747
1,39,Offensive,268.31,293.61,90.09,128.3,243.09,1,22,28.3451,1,22,28.3451,1,55,43.4134,1,24,8.0088
1,39,Neutral,268.31,293.61,90.09,128.3,243.09,1,18,34.2572,1,18,34.2572,1,55,45.2134,1,24,10.6783
1,39,Defensive,268.31,293.61,90.09,128.3,243.09,1,18,45.5905,1,18,45.5905,1,50,48.5256,1,25,15.1559
